*     A   C   G   I   N   R   T   U   X   Y  ~
A   10  -8  -8  1   1   1   -8  -8  1   -8   1
C   -8  10  -8  1   1   -8  -8  -8  1   1    1
G   -8  -8  10  1   1   1   -8  -8  1   -8   1
I   1   1   1   10  1   0   1   1   0   0    1
N   1   1   1   1   10  1   1   1   1   1    1
R   1   -8  1   0   1   10  -8  -8  0   -8   1
T   -8  -8  -8  1   1   -8  10  10  1   1    1
U   -8  -8  -8  1   1   -8  10  10  1   1    1
X   1   1   1   0   1   0   1   1   10  0    1
Y   -8  1   -8  0   1   -8  1   1   0   10   1
~    1   1   1   1   1   1   1   1   1   1   1
