name,dates,p-dist
157281904|Influenza____2007_03_05,36,43
157281904|Influenza____2007_03_05,36,43
168828064|Influenza____2007_03_17,35,42
168828064|Influenza____2007_03_17,35,42
158188125|Influenza____2007_02_14,30,41
158188125|Influenza____2007_02_14,30,41
168828104|Influenza____2007_09_18,32,39
237688997|Influenza____2007_07_03,29,39
285138736|Influenza____2007_01_01,29,39
168828104|Influenza____2007_09_18,32,39
237688997|Influenza____2007_07_03,29,39
285138736|Influenza____2007_01_01,29,39
158188127|Influenza____2007_02_01,28,38
158188161|Influenza____2007_03_26,29,38
158188127|Influenza____2007_02_01,28,38
158188161|Influenza____2007_03_26,29,38
157282493|Influenza____2007_01_29,27,37
157282493|Influenza____2007_01_29,27,37
168828108|Influenza____2007_03_20,28,36
229433648|Influenza____2007_01_02,26,36
371537434|Influenza____2007_10_01,25,36
168828108|Influenza____2007_03_20,28,36
229433648|Influenza____2007_01_02,26,36
371537434|Influenza____2007_10_01,25,36
371540396|Influenza____2007_02_09,25,35
371540396|Influenza____2007_02_09,25,35
156123407|Influenza____2007_01_09,25,34
229433667|Influenza____2007_01_15,24,34
237688805|Influenza____2007_02_03,24,34
341865718|Influenza____2010_10_15,40,34
371542014|Influenza____2007_03_10,24,34
156123407|Influenza____2007_01_09,25,34
229433667|Influenza____2007_01_15,24,34
237688805|Influenza____2007_02_03,24,34
341865718|Influenza____2010_10_15,40,34
371542014|Influenza____2007_03_10,24,34
341865722|Influenza____2010_09_20,39,33
371537490|Influenza____2007_01_01,25,33
371540548|Influenza____2007_01_01,25,33
393712077|Influenza____2011_10_03,39,33
341865722|Influenza____2010_09_20,39,33
371537490|Influenza____2007_01_01,25,33
371540548|Influenza____2007_01_01,25,33
393712077|Influenza____2011_10_03,39,33
157282892|Influenza____2007_02_21,24,32
168828086|Influenza____2007_04_22,24,32
371542128|Influenza____2007_02_02,24,32
371542166|Influenza____2007_03_06,24,32
157282892|Influenza____2007_02_21,24,32
168828086|Influenza____2007_04_22,24,32
371542128|Influenza____2007_02_02,24,32
371542166|Influenza____2007_03_06,24,32
154224783|Influenza____2007_01_01,23,31
157282512|Influenza____2007_03_02,23,31
158187945|Influenza____2007_01_15,23,31
168481185|Influenza____2007_03_13,23,31
168828084|Influenza____2007_04_22,23,31
168828150|Influenza____2007_10_09,20,31
319741061|Influenza____2010_12_22,37,31
341865746|Influenza____2008_09_27,23,31
380681471|Influenza____2011_02_08,37,31
380681479|Influenza____2010_12_20,37,31
391882910|Influenza____2012_03_26,37,31
393712069|Influenza____2011_09_19,35,31
154224783|Influenza____2007_01_01,23,31
157282512|Influenza____2007_03_02,23,31
158187945|Influenza____2007_01_15,23,31
168481185|Influenza____2007_03_13,23,31
168828084|Influenza____2007_04_22,23,31
